대여소번호,count
192,5477
925,5475
1325,5471
233,5465
1839,5461
4507,5456
3545,5452
4078,5447
1042,5445
1758,5440
271,5429
4406,5426
2036,5426
2229,5425
3310,5422
3812,5419
3606,5408
628,5396
1026,5395
3684,5395
4306,5393
2268,5387
430,5387
2411,5382
160,5379
1916,5378
1057,5373
1537,5372
1240,5370
4615,5368
347,5365
3767,5362
4497,5358
2297,5354
954,5354
125,5353
2396,5349
922,5348
1845,5339
378,5337
1032,5334
2214,5330
171,5320
4467,5317
840,5314
2196,5313
4518,5309
2069,5308
1130,5304
4797,5302
446,5296
927,5293
2178,5290
3623,5290
4202,5288
4023,5271
1702,5269
2186,5268
2127,5266
1412,5265
1509,5261
2330,5258
506,5256
1859,5241
3535,5239
1819,5235
2501,5231
4856,5231
4002,5231
2026,5230
2321,5208
1340,5204
343,5201
3685,5190
2385,5173
1696,5170
1870,5169
3792,5168
979,5163
947,5163
331,5163
3873,5153
993,5150
167,5141
2243,5138
1198,5129
1472,5128
4103,5123
137,5108
3211,5097
2421,5091
3956,5087
2405,5078
2228,5077
909,5073
667,5069
4034,5060
2277,5058
594,5053
2550,5049
1031,5042
2314,5035
2603,5032
299,5031
3537,5026
1993,5019
452,5015
4463,5013
1083,5010
1058,5001
282,4989
2322,4984
1831,4979
3753,4979
388,4974
1727,4966
4803,4966
1480,4957
2212,4954
3793,4938
733,4934
964,4932
4499,4925
2521,4920
572,4917
4654,4910
1065,4905
471,4903
337,4900
4567,4885
2914,4882
405,4880
2024,4877
1018,4871
4576,4870
2233,4854
3588,4851
382,4846
3557,4844
1574,4843
965,4842
866,4840
141,4836
4175,4831
4207,4830
1386,4827
2008,4821
2422,4819
1551,4815
3795,4813
1736,4798
1266,4797
1825,4791
2605,4780
3107,4766
1768,4765
4671,4761
2319,4751
4074,4739
535,4707
3221,4707
748,4705
424,4699
760,4694
4775,4692
606,4685
2190,4679
364,4677
976,4676
4307,4672
3797,4663
2205,4655
4677,4653
2172,4652
3402,4642
3653,4633
4623,4631
2364,4630
2389,4628
638,4628
4860,4619
4618,4618
4171,4614
2819,4613
4520,4611
2625,4598
4605,4594
4867,4594
1973,4568
776,4562
1070,4557
1732,4557
1250,4556
953,4554
4869,4554
1275,4549
3903,4537
4472,4534
1665,4528
4462,4527
4872,4523
3203,4523
4794,4522
1809,4490
3553,4488
4857,4478
1646,4468
757,4457
4469,4457
4558,4451
664,4449
2518,4446
4493,4446
1539,4443
4808,4441
2657,4441
2320,4435
441,4434
3914,4428
2062,4426
4552,4424
2048,4416
1725,4408
636,4400
671,4399
4569,4398
4253,4396
4033,4389
3127,4389
4054,4386
1826,4381
322,4364
4512,4360
3658,4348
3958,4346
1759,4342
2339,4321
2614,4314
3558,4304
3906,4296
1258,4296
2129,4277
1391,4265
2137,4265
1664,4253
468,4236
941,4234
1757,4231
4753,4230
1459,4225
4707,4219
1774,4214
652,4214
2419,4213
4610,4208
1528,4208
3419,4197
4009,4195
1693,4195
2065,4193
4458,4188
397,4176
3758,4175
4116,4173
4663,4170
2246,4170
4588,4170
5062,4169
1441,4163
4167,4158
2616,4157
575,4154
120,4153
4592,4152
975,4144
2361,4142
3603,4139
164,4138
1213,4137
1525,4137
3776,4129
1504,4122
3132,4118
1546,4116
196,4112
1137,4103
4752,4097
2514,4096
2502,4094
4041,4092
4627,4087
298,4080
159,4080
2549,4079
5061,4069
2341,4068
3863,4061
3807,4053
1357,4042
3665,4041
1660,4036
1287,4034
4316,4020
2298,4015
4367,4013
2353,4007
1067,3998
4774,3993
802,3991
1183,3990
1761,3987
4360,3983
3425,3982
1034,3977
1843,3977
2285,3963
480,3954
1426,3950
2223,3949
2328,3948
4152,3947
4560,3941
2088,3940
1285,3940
2634,3921
4313,3916
3654,3913
466,3897
4665,3881
2281,3853
1542,3850
1976,3847
1367,3841
1999,3838
2527,3814
4532,3812
3761,3810
1571,3806
971,3805
2360,3799
2323,3798
1547,3792
978,3791
1652,3785
4616,3778
1868,3772
2643,3763
2716,3756
555,3741
1056,3741
2165,3738
2280,3733
2331,3732
4781,3727
2337,3727
4578,3719
1279,3715
2344,3713
158,3707
4820,3706
1723,3701
1943,3694
491,3689
1063,3689
169,3684
902,3682
710,3681
848,3677
526,3676
2381,3674
5053,3673
952,3672
3547,3668
1522,3667
2520,3658
1323,3646
3676,3643
1316,3640
3655,3637
3307,3637
3134,3619
524,3611
830,3607
139,3605
163,3601
1842,3593
1105,3586
2430,3582
352,3578
3853,3571
959,3568
2356,3565
1347,3552
442,3550
767,3545
1239,3544
1967,3541
4785,3534
2083,3532
127,3526
1466,3525
2427,3525
4762,3512
3415,3511
3006,3510
4017,3506
4040,3502
967,3500
3673,3489
4676,3472
4563,3471
4530,3471
3908,3470
2312,3461
867,3455
4779,3453
1538,3451
1968,3444
4058,3442
533,3442
1418,3431
808,3420
2310,3415
371,3394
3005,3392
3100,3392
2143,3380
2326,3376
831,3372
2041,3365
4798,3363
4776,3361
2027,3358
3551,3354
1289,3345
2159,3344
1314,3341
435,3329
5063,3317
434,3307
1858,3304
1910,3302
2071,3297
995,3297
869,3290
4658,3285
1069,3285
2272,3278
1865,3275
1263,3273
5055,3261
3105,3258
928,3257
621,3254
422,3251
2235,3246
2406,3241
1635,3241
4784,3239
3770,3237
1852,3230
4320,3230
851,3217
1534,3214
1717,3206
1161,3206
1849,3205
2907,3204
3814,3202
4474,3202
470,3200
428,3199
2426,3196
847,3195
410,3190
4173,3174
741,3174
2307,3173
